,Kernel Name,CUDA Time,FP64 FLOPs,FP32 FLOPs,FLOPs,L1 Transactions,L1 Bytes,L2 Transactions,L2 Bytes,DRAM Transactions,DRAM Bytes,Performance GFlop/s,FP64 Performance GFlop/s,FP32 Performance GFlop/s,L1 AI,FP64 L1 AI,FP32 L1 AI,L2 AI,FP64 L2 AI,FP32 L2 AI,DRAM AI,FP64 DRAM AI,FP32 DRAM AI
0,"kernel_find_ntuplets(TrackingRecHit2DSOAView const *,GPUCACell*,unsigned int const *,GPU::SimpleVector<GPU::VecArray<unsigned short,int=42>>*,HistoContainer<unsigned int,unsigned int=32768,unsigned int=163840,unsigned int=32,unsigned short,unsigned int=1>*,AtomicPairCounter*,trackQuality::Quality*,unsigned int)",0.01854662928706211,0.0,0.0,0.0,221543156.0,7089380992.0,225398161.0,7212741152.0,278432471.0,8909839072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"void kernelBLFit<int=4>(HistoContainer<unsigned int,unsigned int=8,unsigned int=24576,unsigned int=32,unsigned short,unsigned int=1> const *,double,TrackSoAT<int=32768>*,double*,float*,double*,unsigned int,unsigned int)",0.014657562784041586,265470717.0,20715168.0,286185885.0,9403323.0,300906336.0,7501232.0,240039424.0,5333291.0,170665312.0,19.524793392772278,18.111518327523804,1.4132750652484756,0.9510796243253582,0.8822370460155415,0.06884257830981665,1.1922453413319305,1.1059463173849309,0.08629902394699963,1.6768837301864834,1.555504829241457,0.12137890094502625
2,"gpuVertexFinder::vertexFinderOneKernel(ZVertexSoA*,gpuVertexFinder::WorkSpace*,int,float,float,float)",0.012052272599517211,56235.0,11430114.0,11486349.0,8849541.0,283185312.0,1176192.0,37638144.0,211899.0,6780768.0,0.9530442416694191,0.004665924997601918,0.9483783166718173,0.0405612456340956,0.00019858021449926046,0.040362665419596336,0.30517841156035747,0.001494095989430297,0.3036843155709272,1.6939598877295314,0.008293308368609573,1.685666579360922
3,"gpuPixelDoublets::getDoubletsFromHisto(GPUCACell*,unsigned int*,GPU::SimpleVector<GPU::VecArray<unsigned int,int=36>>*,GPU::SimpleVector<GPU::VecArray<unsigned short,int=42>>*,TrackingRecHit2DSOAView const *,GPU::VecArray<unsigned int,int=128>*,int,bool,bool,bool,bool,unsigned int)",0.011098314061831704,0.0,545955533.0,545955533.0,339960809.0,10878745888.0,168911671.0,5405173472.0,67157969.0,2149055008.0,49.19265484454073,0.0,49.19265484454073,0.050185521255922176,0.0,0.050185521255922176,0.10100610754274049,0.0,0.10100610754274049,0.25404446650627566,0.0,0.25404446650627566
4,"gpuClustering::findClus(unsigned short const *,unsigned short const *,unsigned short const *,unsigned int const *,unsigned int*,unsigned int*,int*,int)",0.009689208870974055,0.0,0.0,0.0,150617334.0,4819754688.0,71288368.0,2281227776.0,19548934.0,625565888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"kernel_connect(AtomicPairCounter*,AtomicPairCounter*,TrackingRecHit2DSOAView const *,GPUCACell*,unsigned int const *,GPU::SimpleVector<GPU::VecArray<unsigned int,int=36>>*,GPU::VecArray<unsigned int,int=128> const *,float,float,float,float,float,float)",0.009273248053602036,0.0,1756497343.0,1756497343.0,199460307.0,6382729824.0,92061427.0,2945965664.0,83274917.0,2664797344.0,189.41554597126498,0.0,189.41554597126498,0.27519531476881764,0.0,0.27519531476881764,0.5962382265566012,0.0,0.5962382265566012,0.6591485641318622,0.0,0.6591485641318622
6,"void kernelBLFit<int=3>(HistoContainer<unsigned int,unsigned int=8,unsigned int=24576,unsigned int=32,unsigned short,unsigned int=1> const *,double,TrackSoAT<int=32768>*,double*,float*,double*,unsigned int,unsigned int)",0.0060442692184282205,862708818.0,60096705.0,922805523.0,29479274.0,943336768.0,25623242.0,819943744.0,12158427.0,389069664.0,152.67445734986148,142.73169953610088,9.942757813760622,0.9782355085729044,0.9145289861107163,0.06370652246218818,1.1254498003706948,1.0521561074316825,0.07329369293901217,2.3718259437466704,2.217363361436475,0.15446258231019522
7,"gpuPixelDoublets::fishbone(TrackingRecHit2DSOAView const *,GPUCACell*,unsigned int const *,GPU::VecArray<unsigned int,int=128> const *,unsigned int,bool)",0.005508476409205976,0.0,129153355.0,129153355.0,55955823.0,1790586336.0,32633287.0,1044265184.0,52896500.0,1692688000.0,23.446293567519685,0.0,23.446293567519685,0.07212908554217852,0.0,0.07212908554217852,0.12367869481704372,0.0,0.12367869481704372,0.07630074473263826,0.0,0.07630074473263826
8,"gpuPixelRecHits::getHits(pixelCPEforGPU::ParamsOnGPU const *,BeamSpotCUDA::Data const *,SiPixelDigisCUDA::DeviceConstView const *,int,SiPixelClustersCUDA::DeviceConstView const *,TrackingRecHit2DSOAView*)",0.0052371117207438075,48629316.0,175714080.0,224343396.0,74233078.0,2375458496.0,13837022.0,442784704.0,8975533.0,287217056.0,42.83723700439549,9.285521981015398,33.5517150233801,0.09444214511757144,0.020471549421674257,0.07397059569589719,0.506664737903864,0.10982609733510577,0.3968386405687582,0.7810935712675782,0.1693120759513669,0.6117814953162113
9,"void kernelBLFastFit<int=4>(HistoContainer<unsigned int,unsigned int=32768,unsigned int=163840,unsigned int=32,unsigned short,unsigned int=1> const *,HistoContainer<unsigned int,unsigned int=8,unsigned int=24576,unsigned int=32,unsigned short,unsigned int=1> const *,TrackingRecHit2DSOAView const *,double*,float*,double*,unsigned int,unsigned int)",0.0024639671163777326,10586982.0,11021976.0,21608958.0,4044162.0,129413184.0,2676045.0,85633440.0,4435744.0,141943808.0,8.769986359139093,4.296722115173305,4.4732642439657875,0.16697648054158068,0.08180760006646617,0.08516888047511449,0.25234251946435876,0.12363139913566476,0.12871112032869403,0.15223600313724148,0.07458572620511913,0.07765027693212233
