Precision,Network Name,Data Format,Input Shape,Kernel Shape,Stride Size,Batch Size,Pass,Invocations,CUDA Time Avg,TC Time Avg,FP32 FLOPs Avg,FP16 FLOPs Avg,TC FLOPs Avg,FLOPs Avg,FP32 FLOPs Fraction Avg,FP16 FLOPs Fraction Avg,TC FLOPs Fraction Avg,Shared Transactions Avg,L1 Atomic Transactions Avg,Local Transactions Avg,Global Transactions Avg,L1 Transactions Avg,L1 Bytes Avg,L2 Transactions Avg,L2 Bytes Avg,DRAM Transactions Avg,DRAM Bytes Avg,Performance GFlop/s,FP32 Performance GFlop/s,FP16 Performance GFlop/s,TC Performance GFlop/s,L1 AI,FP32 L1 AI,FP16 L1 AI,TC L1 AI,L2 AI,FP32 L2 AI,FP16 L2 AI,TC L2 AI,DRAM AI,FP32 DRAM AI,FP16 DRAM AI,TC DRAM AI
FP16,ResNet50-1,NHWC,224x224x3,7x7x3x64,2,16,backward,620.0,0.087053792082125,0.0146599583899828,276843176320.0,4416809620.0,1301671449157.5632,1582931435097.5632,0.17489271498543266,0.00279027222662223,0.8223170127879451,954472880.0,11760.0,162909744.0,1659400411.0,2776794795.0,88857433440.0,1007221330.0,32231082560.0,277377332.0,8876074624.0,18183.37142170962,3180.139195531322,50.736556264352735,88790.93749999999,17.814282652744186,3.115588258656326,0.04970669812315029,14.64898769596471,49.111953722027366,8.58932292468429,0.1370357204657292,40.385595076877344,178.3368777474536,31.189820731277347,0.49760843696124385,146.649448579215
FP16,ResNet50-1,NHWC,224x224x3,7x7x3x64,2,16,forward,140.0,0.011636858496107022,0.0,78354841600.0,1277573140.0,0.0,79632414740.0,0.9839566193720073,0.016043380627992748,0.0,228802560.0,0.0,1638864.0,561347247.0,791788671.0,25337237472.0,132683262.0,4245864384.0,55900626.0,1788820032.0,6843.11962430755,6733.332851491898,109.78677281565274,,3.142900437666151,3.092477689668788,0.05042274799736305,0.0,18.755289273977905,18.45439102936737,0.3008982446105372,0.0,44.516727963386316,43.8025291523569,0.714198811029415,0.0
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x128,1,16,backward,540.0,0.053655955309624984,0.04484742830181862,2364866560.0,591134740.0,3600567429975.1895,3603523431275.1895,0.0006562650708679138,0.0001640435399613354,0.9991796913891707,645501440.0,0.0,1639108.0,2451349577.0,3098490125.0,99151684000.0,2415621105.0,77299875360.0,437786308.0,14009161856.0,67159.80379961248,44.07463340002787,11.017131958397174,80284.81378561415,36.343542397879894,0.023850997427335676,0.005961923349683098,36.313729477102875,46.61745461416213,0.030593407156044864,0.007647292278894044,46.57921391472719,257.226197278307,0.1688085685859321,0.0421962959723263,257.01519241374876
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x128,1,16,forward,140.0,0.013513644158419984,0.00843581797451497,1027604480.0,591134740.0,728401247781.9634,730019987001.9634,0.0014076388294793855,0.0008097514458852893,0.9977826097246353,105745920.0,0.0,1638992.0,457723607.0,565108519.0,18083472608.0,456080258.0,14594568256.0,146682699.0,4693846368.0,54020.95677849471,76.04199636703676,43.743547859492814,86346.25000000001,40.369457947972215,0.05682561653260088,0.03268922694297589,40.27994310449664,50.01997826841116,0.07041006366033059,0.04050374972599669,49.90906445502483,155.5270304496603,0.21892588709456456,0.12593823778085786,155.18216632478487
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x128,2,16,backward,600.0,0.05582015891785821,0.024126935905543535,2416680960.0,1068933140.0,1875958695458.7805,1879444309558.7805,0.0012858486669218422,0.0005687495684567229,0.9981454017646214,306507200.0,22680.0,1639704.0,1030033454.0,1338203038.0,42822497216.0,1009104390.0,32291340480.0,547015204.0,17504486528.0,33669.63380244876,43.29405374062534,19.149589695238625,77753.70659594408,43.889180494979485,0.05643484423176149,0.024961952466438803,43.807783698281284,58.20273428174452,0.07483990828738739,0.03310278000574351,58.09479159345139,107.36929109873863,0.13806065982765628,0.06106623797791185,107.17016420093306
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x128,2,16,forward,140.0,0.027021196529494623,0.0,148103495680.0,1104936980.0,0.0,149208432660.0,0.9925946747090507,0.007405325290949276,0.0,270950400.0,0.0,1635780.0,778947646.0,1051533826.0,33649082432.0,285800833.0,9145626656.0,166233654.0,5319476928.0,5521.9032398189165,5481.011750102911,40.891489716005765,,4.434249669705823,4.401412608480367,0.032837061225456,0.0,16.314730337489955,16.19391445230672,0.12081588518323177,0.0,28.04945574152512,27.84174039752504,0.20771534400007835,0.0
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x128,3,16,backward,520.0,0.04235822147534429,0.010569692060706288,138692862672.0,1723765116.0,912166950853.1062,1052583578641.1062,0.13176422802553464,0.0016376515375865872,0.8665981204368788,377985920.0,8622666.0,1639164.0,627375744.0,1015623494.0,32499951808.0,8.485502273913418e+20,2.7153607276522937e+22,327574296.0,10482377472.0,24849.569740641495,3274.2843736423115,40.694936094126675,86300.23898654181,32.38723505989964,4.267479025549206,0.05303900529402287,28.06671702905641,3.876404221074421e-11,5.10771409704795e-12,6.348199332949662e-14,3.359284612036676e-11,100.41458452080309,13.23105021188842,0.1644440987366115,87.01909021017805
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x128,3,16,forward,120.0,0.006848262762114205,0.0018542770000347377,118620160.0,526909460.0,128434178561.15607,129079708181.15607,0.000918968300064045,0.004082047189481653,0.9949989845104543,13669120.0,0.0,1639628.0,174479051.0,189787799.0,6073209568.0,181304660.0,5801749120.0,117707996.0,3766655872.0,18848.533221483223,17.321204533247116,76.94060206260716,69263.75,21.253952582384535,0.019531708674275738,0.08675963740429911,21.14766123630596,22.24841259271067,0.02044558589944682,0.09081907009450281,22.137147936716723,34.26904728427393,0.0314921681276436,0.13988786815298426,34.09766724799331
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x256,1,16,backward,520.0,0.1385040311381816,0.1272316560538908,5626265600.0,526909460.0,12917521465062.75,12923674640122.75,0.0004353456549062861,4.0770870102545025e-05,0.9995238834749912,1753349120.0,0.0,1639412.0,4771855129.0,6526843661.0,208858997152.0,4239338427.0,135658829664.0,681946431.0,21822285792.0,93309.0144302671,40.62167399580473,3.8042897067329196,101527.57470665434,61.87750978578801,0.026938105021664008,0.0025227999137453216,61.8480488808526,95.26600422642689,0.04147364100025883,0.0038840778835041567,95.22064650754314,592.223691106664,0.2578220106558487,0.024145475181759548,591.9417236208263
FP16,ResNet50-2,NHWC,112x112x64,3x3x64x256,1,16,forward,120.0,0.024543414717020123,0.0195019322188296,2055208960.0,526909460.0,1421264253985.3909,1423846372405.3909,0.0014434204418613012,0.000370060612023655,0.9981865189461151,256901120.0,0.0,1638284.0,1063378755.0,1321918159.0,42301381088.0,765966800.0,24510937600.0,178432290.0,5709833280.0,58013.37706354267,83.73769435492503,21.468465821693673,72878.125,33.65957176299631,0.04858491394700631,0.012456081727068552,33.59853076732223,58.090245083296644,0.08384864722596332,0.021496911648128874,57.98489952442255,249.36741627688835,0.3599420261881972,0.09228105868618286,248.915193192014
